VehId,Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight
2,ICE,Car,4-FI 2.0L T/C,NO DATA,NO DATA,3500
5,HEV,Car,4-GAS/ELECTRIC 2.0L,NO DATA,NO DATA,3500
7,ICE,SUV,6-FI 3.6L,AUTOMATIC,NO DATA,4500
8,ICE,Car,4-FI 1.5L,5-SP MANUAL,NO DATA,2500
12,ICE,Car,4-FI 1.8L,NO DATA,NO DATA,2500
108,ICE,NO DATA,8-4V/FI 6.0L,6-SP AUTOMATIC,NO DATA,6000
110,ICE,NO DATA,6-FI 3.6L,NO DATA,NO DATA,4500
115,HEV,NO DATA,4-GAS/ELECTRIC 2.5L,NO DATA,NO DATA,3500
116,ICE,NO DATA,10-FI 6.8L,NO DATA,NO DATA,NO DATA
119,ICE,NO DATA,8-DSL 6.7L T/C,NO DATA,NO DATA,6500
120,ICE,NO DATA,8-4V/FI 6.0L,NO DATA,NO DATA,6000
123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500
124,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
125,HEV,NO DATA,4-GAS/ELECTRIC 2.4L,NO DATA,NO DATA,3500
126,ICE,NO DATA,8-FI 4.7L,NO DATA,NO DATA,4000
128,ICE,NO DATA,6-FI 3.4L,NO DATA,NO DATA,3500
129,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,4000
130,ICE,NO DATA,4-FI 2.4L,CVT,NO DATA,3500
131,ICE,NO DATA,8-FI 5.3L ,NO DATA,NO DATA,5500
132,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,3500
133,ICE,NO DATA,4-FI 2.4L,5-SP AUTOMATIC,NO DATA,3500
135,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
137,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,3000
138,ICE,NO DATA,4-FI 2.0L PZEV,NO DATA,NO DATA,2500
139,ICE,NO DATA,4-FI 2.0L,AUTOMATIC/CVT,NO DATA,3000
140,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
141,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
142,ICE,NO DATA,4-FI 2.5L,AUTOMATIC/CVT,NO DATA,3500
143,ICE,NO DATA,8-FI 4.8L,NO DATA,NO DATA,5500
145,ICE,NO DATA,4-FI 2.4L,5-SP AUTOMATIC,NO DATA,3500
147,ICE,NO DATA,4-FI 2.4L,CVT,NO DATA,3500
148,ICE,NO DATA,4-FI 2.2L,NO DATA,NO DATA,3000
149,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500
150,HEV,NO DATA,4-FI 1.3L GAS/ELEC.,CVT,NO DATA,2500
153,ICE,NO DATA,5-FI 2.5L,NO DATA,NO DATA,3000
154,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
155,ICE,NO DATA,5-FI 2.5L,NO DATA,NO DATA,3000
156,ICE,NO DATA,6-FI 3.5L,6-SP ECT AUTOMATIC,NO DATA,4500
157,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,3500
159,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,2500
160,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,4000
161,ICE,NO DATA,4-FI 1.8L,NO DATA,NO DATA,3000
162,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
163,ICE,NO DATA,6-FI 3.5L,5-SP AUTOMATIC,NO DATA,4500
164,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4500
165,ICE,NO DATA,6-FI 3.5L,AUTOMATIC,NO DATA,3500
167,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4500
169,ICE,NO DATA,6-FI 3.7L,NO DATA,NO DATA,5000
172,ICE,NO DATA,8-FI 4.8L,NO DATA,NO DATA,5500
174,ICE,NO DATA,4-FI 2.2L,NO DATA,NO DATA,3000
176,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3500
179,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
180,ICE,NO DATA,4-FI 1.6L,NO DATA,NO DATA,2500
181,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3000
184,ICE,NO DATA,4-FI 2.3L T/C,NO DATA,NO DATA,4500
185,ICE,NO DATA,4-FI 1.5L,5-SP AUTOMATIC,NO DATA,2500
187,ICE,NO DATA,4-FI 1.5L,5-SP AUTOMATIC,NO DATA,2500
189,ICE,NO DATA,8-FI 5.4L,NO DATA,NO DATA,NO DATA
190,ICE,NO DATA,6-FI 3.6L,NO DATA,NO DATA,4500
191,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
192,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3500
193,ICE,NO DATA,4-FI 2.4L,5-SP AUTOMATIC,NO DATA,3000
195,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,3000
196,ICE,NO DATA,6-FI 4.3L,NO DATA,NO DATA,4000
199,ICE,NO DATA,4-FI 2.0L,AUTOMATIC/CVT,NO DATA,3000
200,ICE,NO DATA,5-FI 2.5L PZEV,NO DATA,NO DATA,3000
201,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,2500
202,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500
203,ICE,NO DATA,6-FI 3.3L,5-SP ECT AUTOMATIC,NO DATA,3500
205,ICE,NO DATA,4-FI 2.2L,AUTOMATIC,NO DATA,3000
206,ICE,NO DATA,4-FI 2.0L T/C,NO DATA,NO DATA,3500
207,ICE,NO DATA,6-FI 3.8L,NO DATA,NO DATA,4500
208,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
209,ICE,NO DATA,4-FI 2.5L,FULL TIME 4WD AUTOMATIC,NO DATA,3500
211,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,3000
212,HEV,NO DATA,4-GAS/ELECTRIC 2.3L,NO DATA,NO DATA,4000
213,ICE,NO DATA,6-EFI 4.2L ,4-SP AUTOMATIC,NO DATA,4500
214,ICE,NO DATA,6-EFI 3.0L,NO DATA,NO DATA,4000
215,ICE,NO DATA,8-FI 4.6L,NO DATA,NO DATA,5000
216,ICE,NO DATA,4-FI 2.4L,CVT,NO DATA,3500
217,ICE,NO DATA,8-EFI 5.0L,NO DATA,NO DATA,6000
218,ICE,NO DATA,4-FI 2.4L,5-SP AUTOMATIC,NO DATA,3000
220,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
222,ICE,NO DATA,6-EFI 3.0L,NO DATA,NO DATA,3500
223,ICE,NO DATA,4-FI T/C 1.4L,NO DATA,NO DATA,3000
225,ICE,NO DATA,4-FI 2.0L T/C,NO DATA,NO DATA,3500
228,ICE,NO DATA,6-FI 3.0L,AUTOMATIC,NO DATA,3000
230,ICE,NO DATA,6-FI 3.6L,NO DATA,NO DATA,3500
231,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
232,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3500
233,ICE,NO DATA,6-FI 3.7L,NO DATA,NO DATA,4000
234,ICE,NO DATA,6-FI 2.7L,NO DATA,NO DATA,3500
235,ICE,NO DATA,6-FI 3.1L,NO DATA,NO DATA,3000
237,ICE,NO DATA,6-FI 3.0L,NO DATA,NO DATA,3500
238,ICE,NO DATA,4-FI 1.6L T/C,NO DATA,NO DATA,3500
240,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,4500
241,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
242,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3500
243,ICE,NO DATA,6-FI 3.7L,NO DATA,NO DATA,4000
244,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
246,ICE,NO DATA,6-FI 2.7L,NO DATA,NO DATA,3000
247,ICE,NO DATA,4-FI 1.8L,NO DATA,NO DATA,3000
248,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,4000
249,ICE,NO DATA,8-FI 4.8L,NO DATA,NO DATA,5000
250,ICE,NO DATA,8-FI 5.3L,NO DATA,NO DATA,5500
251,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3000
252,ICE,NO DATA,6-FI 4.2L,NO DATA,NO DATA,4500
254,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500
255,ICE,NO DATA,6-FI 3.5L,6-SP AUTOMATIC,NO DATA,4500
257,ICE,NO DATA,4-FI 2.4L,CVT,NO DATA,3000
258,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
259,ICE,NO DATA,6-FI 2.7L,NO DATA,NO DATA,3500
260,ICE,NO DATA,4-FI 2.5L,FULL TIME 4WD AUTOMATIC,NO DATA,3500
262,ICE,NO DATA,4-FI 2.3L,NO DATA,NO DATA,3000
264,ICE,NO DATA,6-FI 3.6L,NO DATA,NO DATA,4000
265,ICE,NO DATA,6-FI 3.0L,NO DATA,NO DATA,4000
266,ICE,NO DATA,4-FI 2.4L,4-SP AUTOMATIC,NO DATA,3500
267,ICE,NO DATA,4-FI 2.5L,AUTOMATIC/CVT,NO DATA,3500
268,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,2500
269,ICE,NO DATA,4-FI 1.8L,NO DATA,NO DATA,2500
270,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,2500
271,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,3000
272,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,2500
273,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,3000
274,ICE,NO DATA,4-FI 1.4L T/C,NO DATA,NO DATA,3000
275,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3500
276,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,2500
278,ICE,NO DATA,4-FI 2.4L,5-SP AUTOMATIC,NO DATA,3500
280,ICE,NO DATA,6-FI 3.8L,NO DATA,NO DATA,4500
282,ICE,NO DATA,4-FI 2.5L,FULL TIME 4WD MANUAL,NO DATA,3500
283,ICE,NO DATA,4-FI 1.5L,NO DATA,NO DATA,2500
285,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3000
286,ICE,NO DATA,6-EFI 3.0L,NO DATA,NO DATA,3000
288,ICE,NO DATA,6-FI 3.7L,NO DATA,NO DATA,5000
289,ICE,NO DATA,4-FI 1.8L,NO DATA,NO DATA,2500
291,ICE,NO DATA,4-FI 2.5L,AUTOMATIC/CVT,NO DATA,3500
292,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
293,ICE,NO DATA,4-FI 1.4L T/C,NO DATA,NO DATA,3000
297,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
298,HEV,NO DATA,4-GAS/ELECTRIC 1.5L,NO DATA,NO DATA,3000
299,ICE,NO DATA,4-FI 2.5L,AUTOMATIC/CVT,NO DATA,3500
300,ICE,NO DATA,6-FI 3.5L,5-SP AUTOMATIC,NO DATA,4500
301,ICE,NO DATA,4-FI 2.3L ULEV,4-SP AUTOMATIC,NO DATA,3000
302,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,2500
303,ICE,NO DATA,4-FI 1.8L,NO DATA,NO DATA,3000
304,ICE,NO DATA,4-FI 1.5L,5-SP MANUAL,NO DATA,2500
306,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3000
307,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,3000
308,ICE,NO DATA,4-FI 1.8L,CVT,NO DATA,3000
309,ICE,NO DATA,6-FI 3.6L,NO DATA,NO DATA,4500
311,ICE,NO DATA,4-FI 2.0L T/C,NO DATA,NO DATA,3500
312,ICE,NO DATA,4-FI 1.8L,NO DATA,NO DATA,2500
313,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,4000
315,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3500
318,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,3000
319,ICE,NO DATA,4-FI 1.5L,5-SP MANUAL,NO DATA,2500
321,ICE,NO DATA,6-FI 3.8L,NO DATA,NO DATA,4500
323,ICE,NO DATA,4-FI 1.6L T/C,NO DATA,NO DATA,3500
324,ICE,NO DATA,4-FI 1.8L,CVT,NO DATA,3000
325,ICE,NO DATA,6-FI 3.6L,NO DATA,NO DATA,4500
