VehId,Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight
9,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000
10,EV,Car,ELECTRIC,NO DATA,FWD,3500
11,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000
371,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000
379,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000
388,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000
398,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3000
417,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000
431,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000
443,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000
449,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000
453,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000
455,EV,Car,ELECTRIC,NO DATA,FWD,3500
457,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000
492,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000
497,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3500
536,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000
537,PHEV,Car,4-GAS/ELECTRIC 1.5L,NO DATA,FWD,3500
541,EV,Car,ELECTRIC,NO DATA,FWD,3500
542,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000
545,PHEV,Car,4-GAS/ELECTRIC 1.5L,NO DATA,FWD,3500
550,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000
554,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000
560,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3000
561,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000
567,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000
569,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000
